127.0.0.1 - - [27/Nov/2015:18:05:39 +0800] "GET / HTTP/1.1" 200 11452
192.168.5.123 - - [27/Nov/2015:19:23:59 +0800] "GET /mp3/Home.lrc HTTP/1.1" 200 1511
192.168.5.123 - - [27/Nov/2015:19:24:09 +0800] "GET /mp3/Home.mp3 HTTP/1.1" 200 3380301
192.168.5.123 - - [27/Nov/2015:19:24:14 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 439
192.168.5.123 - - [27/Nov/2015:19:24:32 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 439
192.168.5.123 - - [27/Nov/2015:19:25:08 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 439
192.168.5.123 - - [27/Nov/2015:19:29:36 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 439
192.168.5.123 - - [27/Nov/2015:19:29:52 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 439
192.168.5.123 - - [27/Nov/2015:19:30:55 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 631
192.168.5.123 - - [27/Nov/2015:19:39:12 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 636
192.168.5.123 - - [27/Nov/2015:19:58:42 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 627
192.168.5.122 - - [27/Nov/2015:20:05:30 +0800] "GET /mp3/Home.lrc HTTP/1.1" 200 1511
192.168.5.122 - - [27/Nov/2015:20:05:31 +0800] "GET /mp3/Home.mp3 HTTP/1.1" 200 3380301
192.168.5.122 - - [27/Nov/2015:20:06:04 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 627
192.168.5.122 - - [27/Nov/2015:20:07:26 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 624
192.168.5.122 - - [27/Nov/2015:20:07:29 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 624
192.168.5.122 - - [27/Nov/2015:20:07:31 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 624
192.168.5.122 - - [27/Nov/2015:20:07:36 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 624
192.168.5.122 - - [27/Nov/2015:20:07:37 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 624
192.168.5.122 - - [27/Nov/2015:20:07:37 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 624
192.168.5.122 - - [27/Nov/2015:20:07:37 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 624
192.168.5.122 - - [27/Nov/2015:20:07:38 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 624
192.168.5.122 - - [27/Nov/2015:20:07:38 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 624
192.168.5.123 - - [27/Nov/2015:20:07:45 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 624
192.168.5.123 - - [27/Nov/2015:20:07:46 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 624
192.168.5.123 - - [27/Nov/2015:20:07:47 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 624
192.168.5.123 - - [27/Nov/2015:20:07:48 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 624
192.168.5.122 - - [27/Nov/2015:20:08:05 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 624
192.168.5.122 - - [27/Nov/2015:20:09:54 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 627
192.168.5.123 - - [27/Nov/2015:20:29:30 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 625
192.168.5.123 - - [27/Nov/2015:20:39:59 +0800] "GET /mp3/resources.xml HTTP/1.1" 200 627
